El municipio en cifras
Tasa de paro (%) (parados sobre la población de 16 a 64)
Año;Periodos;Moncloa - Aravaca;Madrid;
2015;Enero;7,61;11,24;
2015;Febrero;7,68;11,3;
2015;Marzo;7,58;11,24;
2015;Abril;7,4;10,97;
2015;Mayo;7,1;10,62;
2015;Junio;6,93;10,33;
2015;Julio;6,9;10,25;
2015;Agosto;7,1;10,39;
2015;Septiembre;6,96;10,35;
2015;Octubre;6,98;10,4;
2015;Noviembre;6,88;10,27;
2015;Diciembre;6,77;10,07;
2016;Enero;6,94;10,23;
2016;Febrero;6,93;10,27;
2016;Marzo;6,91;10,22;
2016;Abril;6,72;10,02;
2016;Mayo;6,59;9,72;
2016;Junio;6,49;9,56;
2016;Julio;6,5;9,46;
2016;Agosto;6,58;9,57;
2016;Septiembre;6,47;9,46;
2016;Octubre;6,37;9,46;
2016;Noviembre;6,32;9,34;
2016;Diciembre;6,16;9,09;
2017;Enero;6,22;9,29;
2017;Febrero;6,14;9,35;
2017;Marzo;6,07;9,2;
2017;Abril;5,97;8,95;
2017;Mayo;5,91;8,74;
2017;Junio;5,97;8,6;
2017;Julio;5,99;8,63;
2017;Agosto;6,16;8,74;
2017;Septiembre;6,08;8,7;
2017;Octubre;6,08;8,7;
2017;Noviembre;5,84;8,48;
2017;Diciembre;5,73;8,28;
2018;Enero;5,8;8,53;
2018;Febrero;5,87;8,57;
2018;Marzo;5,78;8,48;
2018;Abril;5,73;8,3;
2018;Mayo;5,55;8,05;
2018;Junio;5,43;7,85;
2018;Julio;5,57;7,85;
2018;Agosto;5,64;7,91;
2018;Septiembre;5,56;7,87;
2018;Octubre;5,49;7,81;
2018;Noviembre;5,4;7,67;
2018;Diciembre;5,3;7,48;
2019;Enero;5,36;7,73;
2019;Febrero;5,39;7,82;
2019;Marzo;5,39;7,8;
2019;Abril;5,28;7,66;
2019;Mayo;5,13;7,48;
2019;Junio;5,04;7,35;
2019;Julio;5,09;7,37;
2019;Agosto;5,31;7,49;
2019;Septiembre;5,25;7,43;
2019;Octubre;5,22;7,52;
2019;Noviembre;5,25;7,45;
2019;Diciembre;5,2;7,3;
2020;Enero;5,31;7,54;
2020;Febrero;5,37;7,57;
2020;Marzo;5,46;7,8;
2020;Abril;6,04;8,74;
2020;Mayo;6,28;9,14;
2020;Junio;6,36;9,16;
2020;Julio;6,58;9,37;
2020;Agosto;6,75;9,5;
2020;Septiembre;6,61;9,36;
2020;Octubre;6,77;9,51;
2020;Noviembre;6,73;9,51;
2020;Diciembre;6,72;9,54;
2021;Enero;6,78;9,71;
2021;Febrero;6,87;9,87;
2021;Marzo;6,83;9,83;
2021;Abril;6,73;9,72;
2021;Mayo;6,55;9,48;
2021;Junio;6,48;9,29;
2021;Julio;6,37;9,14;
2021;Agosto;6,45;9,17;
2021;Septiembre;6,26;8,95;
2021;Octubre;6,01;8,71;
2021;Noviembre;5,93;8,51;
2021;Diciembre;5,45;7,91;
2022;Enero;5,22;7,74;
2022;Febrero;5;7,33;
2022;Marzo;5;7,28;
2022;Abril;4,78;7,01;
2022;Mayo;4,5;6,68;
2022;Junio;4,42;6,5;
2022;Julio;4,62;6,56;
2022;Agosto;4,6;6,6;
2022;Septiembre;4,63;6,6;
2022;Octubre;4,48;6,57;
2022;Noviembre;4,43;6,42;
2022;Diciembre;4,37;6,33;
2023;Enero;4,53;6,56;
2023;Febrero;4,5;6,67;
2023;Marzo;4,5;6,72;
2023;Abril;4,48;6,59;
2023;Mayo;4,36;6,38;
2023;Junio;4,37;6,32;
2023;Julio;4,41;6,2;
2023;Agosto;4,44;6,23;
2023;Septiembre;4,38;6,26;
2023;Octubre;4,37;6,23;
2023;Noviembre;4,26;6,13;
2023;Diciembre;4,26;6,02;
2024;Enero;4,31;6,23;
2024;Febrero;4,32;6,22;
2024;Marzo;4,28;6,24;
2024;Abril;4,09;6,07;
2024;Mayo;4,15;5,94;
2024;Junio;4,11;5,84;
2024;Julio;4,15;5,83;
2024;Agosto;4,17;5,87;
2024;Septiembre;4,14;5,87;
2024;Octubre;4,12;5,85;
2024;Noviembre;4,1;5,76;
2024;Diciembre;4,07;5,68;
2025;Enero;4,06;5,75;
2025;Febrero;4,13;5,84;
2025;Marzo;4,17;5,89;
2025;Abril;4,07;5,82;
2025;Mayo;4,01;5,69;
2025;Junio;3,93;5,57;
2025;Julio;4,03;5,59;
2025;Agosto;4,12;5,7;
2025;Septiembre;4,1;5,66;
2025;Octubre;4,1;5,71;
2025;Noviembre;4,08;5,64;
2025;Diciembre;4,05;5,61;
2026;Enero;4,12;5,69;
2026;Febrero;4,09;5,76;
